timestamp,signal_dBm,SSID,BSSID,frequency,bitrate
2025-10-03T21:56:04.795101,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:05.659191,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:06.583210,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:07.611897,-46,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:56:08.678540,-42,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:56:09.658181,-43,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:56:10.680396,-43,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:56:11.743374,-42,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:56:12.630023,-43,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:13.727560,-43,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:14.684909,-44,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:15.725064,-46,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:16.705495,-44,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:17.685025,-43,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:18.680755,-44,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:19.661817,-43,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:20.735845,-46,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:21.762252,-42,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:22.707146,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:23.687307,-46,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:24.703769,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:25.753888,-41,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:26.791668,-47,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:27.845477,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:28.757516,-47,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:29.768821,-51,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:30.773340,-53,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:31.775382,-53,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:32.743912,-50,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:33.740209,-50,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:34.783510,-53,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:35.761358,-53,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:36.749857,-51,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:37.739206,-52,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:38.760706,-50,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:39.800742,-51,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:40.862215,-52,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:41.768656,-52,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:56:42.760379,-49,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:43.774901,-49,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:44.756609,-53,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:45.757236,-51,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:46.834844,-50,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:56:47.811889,-52,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:48.786055,-50,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:49.774172,-52,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:56:59.871945,-50,NETGEAR31-5G,,"Channel 153,80",650 Mbps
2025-10-03T21:57:07.538919,-47,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:57:16.241074,-41,NETGEAR31-5G,,"Channel 153,80",702 Mbps
2025-10-03T21:57:26.554612,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:57:31.271491,-45,NETGEAR31-5G,,"Channel 153,80",780 Mbps
